Gene names,ratio,P
CCDC55;NSRP1,1.019139226,0.807859311
SERPINB6,1.031245055,0.513207434
HDLBP,1.064281898,0.039473254
TMEM120A;TMPIT,1.092460569,0.217314436
ELOF1,1.088194825,0.19504462
YTHDF3,1.044238068,0.398582427
PSMA2,1.143160922,0.036534778
TCEB3,0.971724083,0.231879918
SLC22A18,0.962756276,0.283567479
BAG6;BAT3,0.983125259,0.37819305
ATP11C,0.933982101,0.365043779
VGLL4,0.972573363,0.925522931
LRRC7,0.986864773,0.339335691
AMBRA1,1.06507124,0.681027452
KBTBD4,1.03190855,0.316700079
KIAA1468,0.993995026,0.758920643
SPHK2,1.0168241,0.887958748
TXNRD1,1.018516002,0.577858925
PMF1;PMF1-BGLAP,0.95306003,0.459560202
GPX4,0.981531999,0.556048476
KIAA1191,0.957526694,0.389399413
DCAF13,0.91517123,0.580072734
JMJD4,1.117391105,0.4409713
C11orf54,1.046485625,0.703194902
EIF2B4,0.948593602,0.361793649
NCAM1,1.053446828,0.151067249
GIMAP1-GIMAP5;GIMAP5,1.064008098,0.310661218
ANKRD11,0.993232777,0.771839192
ALG13,1.081875947,0.258091526
PYCR2,1.038946494,0.314043372
UHRF1,0.875864066,0.119656787
ERGIC2,0.962571166,0.723295072
HNRNPDL,1.013986983,0.776257573
MINOS1,1.112473646,0.473086261
CD9,1.406947494,0.057801718
ELF4,1.186385649,0.313137667
MAGT1,0.963165479,0.245992648
CTNNBL1,0.99533307,0.541001472
SPCS2,1.083490779,0.194953515
OSTC,0.956632952,0.463019697
HNRNPDL,1.042669188,0.154189
EIF5B,1.040315751,0.408998504
,1.007000779,0.90264051
RGS3,1.017156627,0.894002153
SPTBN1,0.963857042,0.037917484
MYCBP,0.999250335,0.716849232
FGFR1OP,1.036648695,0.753347874
LAMTOR4,0.9721292,0.433048913
SELT,0.977808136,0.960865272
TEX2,0.948999551,0.140834196
ITSN2,0.98054997,0.143418823
COG1,0.98801639,0.803425742
TICAM1,0.848888151,0.20763564
FAT1,0.921169379,0.053299655
MPC1;BRP44L,0.928833111,0.146749928
ZMYND8,1.002166076,0.867389256
POLR2E,0.956184901,0.082638883
TTC28,1.016861771,0.874078413
ALOX5AP,1.002709074,0.931939228
EPT1,1.331195322,0.113501048
CHMP2B,1.008578559,0.996727702
KIF1B;KIF1Bbeta,1.002786364,0.806912802
POLD2,0.920747897,0.571968377
C10orf11,0.993129584,0.909994067
GMPR2,1.01304128,0.906286292
RBM15,1.036746663,0.510970586
RSBN1,0.999777477,0.864421722
ARR3,0.733625811,0.039436817
THOC1,0.935377988,0.290636896
TPM3,1.089520505,0.197101322
TNS1,1.062818206,0.603844172
BCL10,1.06925256,0.506613531
CLK4,0.973837646,0.093284085
SLC9A7,0.987035276,0.685473201
VPS11,1.073741887,0.186342705
RPL17;RPL17-C18orf32,1.130707275,0.114454916
INTS12,1.031956637,0.784284259
ITGB6,0.982556856,0.490686933
RMND1,0.986786484,0.236663677
ATXN3,0.903445326,0.360426398
HEATR6,0.927193701,0.150955923
CMIP,1.109440505,0.038783455
VTA1,0.991215895,0.685557809
AP2M1,0.999559345,0.850981232
APOOL,1.048606632,0.449019389
EVL,1.000790854,0.957840518
POLD1,0.981836823,0.564965354
DHX29,0.975102206,0.325326208
SELH;C11orf31,1.013653467,0.777357237
TPD52L2,1.02051624,0.576344581
SYNJ2BP-COX16;SYNJ2BP,1.031338635,0.728607297
RAVER1,1.113031328,0.041906844
CAP2,0.853380893,0.12415369
ARHGEF18,1.027364472,0.533318295
DHPS,1.110146885,0.381827382
IDH3B,0.980604287,0.492318684
SAMD4B,1.036385279,0.775544795
METTL7B,0.98245343,0.719814875
PPIP5K2,0.988982331,0.766914721
NDUFB6,0.966596034,0.147675011
KIF3A,0.937075948,0.63813656
GRID2,0.943581616,0.781278354
WDR13,1.03612739,0.232420725
CTSH,1.00063196,0.932128372
OXA1L,0.975546015,0.206605162
SLC4A1AP,0.966404427,0.024221616
CENPE,0.925772031,0.926301777
SNX12,1.038486871,0.506744885
SENP3-EIF4A1;SENP3,1.017441887,0.68593952
CADM1,1.133422361,0.005132839
SLC1A3,1.034206572,0.481168157
ZBTB8OS,1.085276768,0.301278678
