gene,RNA,protein,
1,0.031567111,-0.053462816,0.515869795
2,0.07688716,-0.059552643,
3,0.115064116,0.102641862,
4,0.109254248,-0.09881272,
5,0.04968376,0.34936338,
6,0.180448959,0.42741009,
7,-0.067442401,0.312327629,
8,-0.037736445,-0.060577136,
9,-0.112376714,0.237709085,
10,-0.054026611,-0.074465989,
11,-0.031961952,1.158342425,
12,0.079265172,0.197528344,
13,0.032600598,-0.219538486,
14,0.010899896,-0.043658549,
15,0.013408122,0.138473968,
16,-0.081831082,-0.228025286,
17,-0.039657013,-0.113929382,
18,-0.07533881,-0.164369837,
19,-0.140153818,0.011579991,
20,0.148059012,-0.106111534,
21,0.052334383,0.116244987,
22,-0.089523298,-0.19252585,
23,0.062327978,0.406824802,
24,0.076142349,2.873934767,
25,-0.023229809,-0.01731569,
26,0.100715078,0.071102358,
27,0.042508301,-0.461963775,
28,-0.203903539,-0.62128715,
29,-0.067411789,0.360410914,
30,0.007189388,0.189481993,
31,0.480119403,-0.268488468,
32,0.232318262,0.024122987,
33,-0.066910157,0.671534969,
34,-0.019566849,0.214515908,
35,0.103203408,0.170349397,
36,-0.076652544,0.117603933,
37,0.047273664,0.189481993,
38,0.043802828,0.028612667,
39,0.012403031,-0.00533936,
40,-0.066000901,-0.291394598,
41,-0.013938764,0.320601119,
42,-0.053436959,-0.006735579,
43,-0.088311283,0.034051223,
44,-0.041233029,0.10432668,
45,-0.030626898,-0.037631519,
46,-0.249477148,-0.025034681,
47,-0.131314494,-1.47E-05,
48,-0.119505242,0.129107515,
49,-0.009915634,-0.036539625,
50,-0.077825796,-0.229949019,
51,0.011134762,0.175028442,
52,-0.008869907,0.015184638,
53,-0.000744772,0.460787002,
54,-0.009090706,0.264845815,
55,-0.132683681,-0.389360763,
56,0.006193839,0.046548229,
57,0.038836158,-0.0677631,
58,-0.013300136,0.09118033,
59,-0.458464831,0,
60,-0.109453341,0.067865848,
61,0.110467299,0.044908111,
62,0.07490105,0.344311711,
63,0.0829313,0.29308923,
64,-0.051079968,0.205188437,
65,-0.032081702,-0.01103976,
66,0.089983316,-0.084360967,
67,0.164274226,-0.273607403,
68,0.031598527,0.338598927,
69,-0.038131335,-0.769168564,
70,-0.032048652,0.054131801,
71,-0.16018736,0.533003529,
72,-0.12181405,-0.129873343,
73,0.136999153,0.21446031,
74,-0.025678229,0.226841165,
75,-0.013737404,-0.138075783,
76,0.055691349,0.474141191,
77,-0.011432697,0.269652684,
78,-0.038973456,-0.058022615,
79,-0.049190611,0.28997362,
80,0.016121644,0.027197339,
81,0.031119626,0,
82,0.141666045,-0.11466529,
83,-0.241327617,0.457014711,
84,0.025857185,-0.020941719,
85,0.137868568,-0.210852404,
86,-0.041166463,-0.078644534,
87,0.038359283,-0.115149331,
88,-0.038342526,0.558552271,
89,-0.02902476,0.081859246,
90,-0.062141248,-0.036116382,
91,-0.107166533,0.278627746,
92,-0.096083449,0,
93,0.038011128,-0.039978434,
94,-0.011535826,0.651838386,
95,-0.048977785,-0.181876916,
96,-0.062427278,0.256667623,
97,-0.126286106,-0.175931492,
98,0.041670288,0.031786109,
99,0.01197539,0.428315578,
100,0.167857997,0.281262183,
101,0.036016493,0.061247008,
102,0.104735831,-0.000539553,
103,1.041016551,2.207375634,
104,0.014501038,0.249389341,
105,0.010729464,0.083590869,
106,-0.016514036,-0.024048281,
107,0.215981503,0.248568092,
108,-0.086848141,-0.121601862,
109,-0.097791571,-0.210925967,
110,-0.076835978,0.190284442,
111,0.165649066,0.832194201,
112,-0.773054495,-0.359573772,
113,-0.035185622,-0.126537586,
114,0.109218698,-0.356075207,
115,-0.067143323,0.024478286,
116,0.126755604,0.305100767,
117,0.011725807,-0.180218053,
118,0.037171164,0.264442692,
119,-0.045470601,0.108042564,
120,-0.009202667,-0.07218922,
121,-0.036184493,-0.353287535,
122,-0.113802968,-0.201438808,
123,-1.276440289,0.045999714,
124,0.108985011,0.206898457,
125,0.321771776,0.071703796,
126,0.087902065,-0.272633816,
127,0.020830513,-0.026923175,
128,-0.106459029,0.072035263,
129,0.034688749,-0.121637608,
130,-0.004019511,-0.021918015,
131,-0.029784898,-0.336990424,
132,0.004348458,-0.008903288,
133,0.049440941,-0.377706878,
134,0.066246469,0.19121009,
135,-0.132723368,0.063311777,
136,-0.028329594,-0.021615808,
137,0.013491155,0.012020121,
138,-0.034317503,-0.137269047,
139,-0.185880479,0.098538261,
140,0.750112839,1.058338798,
141,0.078509274,0.143487952,
142,-0.095449865,-0.170588183,
143,-0.094242028,-0.292835027,
144,0.038844427,0.06659437,
