Gene names,Ratio,P
CCDC55;NSRP1,7.732935594,0.000711328
CCDC55;NSRP1,7.732935594,0.000711328
CCDC55;NSRP1,1.143139734,0.152862346
HDLBP,0.232932388,0.011168835
HNRPA2B1;HNRNPA2B1,0.205184711,0.000116338
HNRPA2B1;HNRNPA2B1,0.115526219,0.003243613
HNRPA2B1;HNRNPA2B1,0.671085324,0.009960571
HNRPA2B1;HNRNPA2B1,0.142332301,5.40894E-05
TCEB3,0.381680627,0.000897749
BAG6;BAT3,0.392183467,0.000163644
BAG6;BAT3,0.491871666,0.007282394
BAG6;BAT3,0.400269431,0.004169494
USP36,0.664995228,0.009065858
GRIPAP1,0.518738668,0.045453856
GRIPAP1,0.654781713,0.003875248
AKAP13,0.737034722,0.074070347
AKAP13,0.737034722,0.074070347
AKAP13,1.205085939,0.31190155
AKAP13,1.176848603,0.418056278
AKAP13,1.176848603,0.418056278
AKAP13,1.13023833,0.277359696
AATF,0.831983959,0.013894587
AATF,0.831983959,0.013894587
TEX264,0.984845323,0.687297334
CASP8AP2,0.476438494,0.045928493
CROCC,1.59242508,0.071264682
IKZF1,0.4478723,0.007268757
MKL1;mkl1,0.536505364,0.011918613
CTNNBL1,1.680902782,0.000932155
EIF5B,0.815396208,0.10235863
EIF5B,1.025764338,0.359991444
EIF5B,0.987661034,0.820066545
EIF5B,0.947343594,0.305917498
EIF5B,0.519298668,0.019431625
SPTBN1,0.816987072,0.061023513
SPTBN1,0.646759651,0.004236882
SMAP2,0.76449708,0.01128464
TEX2,1.045298836,0.547409173
TEX2,0.989044246,0.951625047
TEX2,0.767853488,0.024225052
TEX2,0.767853488,0.024225052
C18orf25,2.071625395,0.000929276
C18orf25,3.354327127,0.000752521
C18orf25,1.516803448,0.020320498
ITSN2,2.168932401,0.003232663
SMTN,1.015099717,0.966285205
ZMYND8,0.858579184,0.347577238
ZMYND8,0.871068904,0.304703504
ZMYND8,0.863832782,0.275140175
ZMYND8,0.902439958,0.091586247
ZMYND8,0.730789999,0.006104791
ZMYND8,0.521354128,0.015337614
PSMD1,1.439949158,0.00462273
CHMP2B,1.42944029,0.16130286
MYEF2,0.899654886,0.15550792
C10orf11,0.268057356,0.003954078
PPIP5K2,1.626230723,0.012796041
RBM15,0.295512325,0.010643787
RBM15,0.726657269,0.083460884
RBM15,0.851696883,0.015367358
RBM15,0.849040967,0.013528498
RBM15,1.045893605,0.43908946
RBM15,0.950615367,0.521405497
RBM15,0.958675771,0.410660786
THOC1,1.224479645,0.210576906
TNS1,0.362674982,4.76495E-05
TNS1,0.692864373,0.024278333
TNS1,0.574489038,0.027941861
TNS1,0.546061759,0.001582018
BCL10,0.910952185,0.512671257
ADRM1,10.35366589,5.24098E-05
SLC9A7,2.022461673,0.038922939
SLC9A7,0.361867049,0.004786492
ABCA2,0.79459468,0.178556361
ABCA2,0.79459468,0.178556361
ESYT2,1.4090917,0.127449026
ESYT2,1.267520688,0.110064961
ESYT2,1.313827967,0.109663035
ESYT2,0.417884771,0.000653932
ESYT2,0.378693119,0.000566391
HEATR6,2.274077632,0.0040016
HEATR6,2.274077632,0.0040016
F11R,1.664228895,0.002021033
F11R,2.238181324,0.000701444
TPD52L2,0.532502497,0.01208186
UGP2,0.803539467,0.19678617
NKTR,2.016809733,0.003592713
NKTR,2.070088209,0.000565755
NKTR,2.070088209,0.000565755
NKTR,2.070088209,0.000565755
STK3,0.984122483,0.685601779
STK3,0.633658411,0.027221802
RAVER1,0.900482409,0.10910108
RAVER1,0.341290146,0.000772951
RAVER1,0.606890905,0.000202404
PLEKHA2,0.909415378,0.470317616
SAMD4B,0.940392877,0.639628143
CNOT2,1.333120455,0.109370246
RREB1,2.614974035,0.000701092
RBM26,0.692627177,0.000577947
SLC4A1AP,0.758449435,0.373887105
HNRNPM,0.733960631,0.000982895
ACAP2,1.918519619,0.099934022
ACAP2,1.918519619,0.099934022
ACAP2,0.37316078,0.003138065
ACAP2,0.309439665,0.001151799
ACAP2,0.691156079,0.020720199
KLF13,0.360758109,0.011978966
EEF1D,0.223023946,2.06938E-05
EEF1D,0.467307065,0.001505378
SPAG9,1.641051744,0.154212802
SPAG9,1.215459239,0.504591992
SPAG9,2.607985923,0.000168331
SPAG9,1.74296617,0.001370186
SPAG9,1.890875213,0.025764749
HECTD1,0.663091995,0.043184074
NCOR1,0.623513928,0.022155613
NCOR1,1.078287401,0.635428207
NCOR1,0.171865167,0.000692921
NCOR1,0.617617134,0.001664585
ERCC5-201;BIVM-ERCC5;ERCC5,0.528199117,0.011203497
ERCC5-201;BIVM-ERCC5;ERCC5,0.805461969,0.084391743
ERCC5-201;BIVM-ERCC5;ERCC5,1.28008383,0.014270507
ERCC5-201;BIVM-ERCC5;ERCC5,1.28008383,0.014270507
ERCC5-201;BIVM-ERCC5;ERCC5,1.101607905,0.310254936
ERCC5-201;BIVM-ERCC5;ERCC5,0.89104076,0.127823808
AAK1,1.007667414,0.907650163
AAK1,1.484197242,0.003635399
AAK1,1.484197242,0.003635399
AAK1,0.660114798,0.004409516
AAK1,0.353343487,0.000253722
AAK1,0.14505229,0.003858242
AAK1,1.234920537,0.006749797
AAK1,1.00962676,0.754171555
FAM21C;FAM21A,1.521199226,0.000147664
FAM21C,1.799397455,0.01629564
FAM21C,1.799397455,0.01629564
FAM21C;FAM21A,2.191517183,0.000341616
RER1,1.978986023,0.023411259
DGAT1,1.12829046,0.18105197
TTN,1.106280996,0.42838554
TTN,1.106280996,0.42838554
EPB41L3,1.296027185,0.09130407
EPB41L3,1.296027185,0.09130407
ASAP1,3.159430685,4.26938E-06
ASAP1,3.159430685,4.26938E-06
ARHGAP30,0.040608555,0.028825068
ARHGAP30,0.812899986,0.05760042
ARHGAP30,1.098988366,0.552545588
ARHGAP30,0.528299574,0.005803491
GPATCH4,0.50824666,0.00197909
NOLC1,1.073541628,0.378608886
NOLC1,0.381437244,9.19906E-08
PRPF38B,0.705831213,0.216910514
PRPF38B,0.560546379,0.089982294
PRPF38B,0.19242403,0.000260078
OGFR,1.133945516,0.301693363
OGFR,1.573115292,0.007843669
OGFR,0.655364137,0.023422457
OGFR,1.025739287,0.6506014
OGFR,1.89716387,0.000931232
OGFR,1.570676783,0.026909689
WAC,0.768907489,0.021982166
WAC,1.123783814,0.434073755
ABI1,0.811363202,0.173815
ABI1,0.803078848,0.018792395
ABI1,0.196219217,0.000156811
ABI1,1.157127891,0.157338418
MARK2,0.617963099,0.022789297
MARK2,1.958418293,0.005447429
