Gene names,ratio,P
CCDC55;NSRP1,0.922357828,0.938392573
CCDC55;NSRP1,0.852293629,0.179978791
HDLBP,1.067743302,0.692491736
HDLBP,0.918654313,0.184423078
TCEB3,0.856366853,0.162895213
TCEB3,0.859200005,0.676577589
BAG6;BAT3,0.808430877,0.232361904
BAG6;BAT3,1.00659692,0.892400228
VGLL4,0.850492633,0.073189821
VGLL4,0.924097145,0.97922681
NOSIP,1.231726501,0.398735237
FNBP1L,1.034201175,0.54849041
KIAA1468,1.06318639,0.382825232
NCAM1,0.99538292,0.933985438
BCL2L13,0.878889377,0.165088623
KHSRP,0.947624433,0.371389226
KHSRP,0.974357671,0.414963288
TEX264,0.998586709,0.98704642
TEX264,0.911224694,0.646912627
ELF4,0.981368677,0.820813233
IKZF1,1.799515485,0.277414102
CTNNBL1,0.836682729,0.060183037
LENG8,1.006773216,0.81546991
EIF5B,0.984925902,0.941348467
EIF5B,1.197297252,0.442546284
EIF5B,1.187544085,0.382380482
EIF5B,1.24948089,0.448879564
EIF5B,1.143632806,0.493113812
SPTBN1,0.979739258,0.639906584
SPTBN1,0.993204148,0.979249873
PRKACB;KIN27;PRKACA,0.998282456,0.963390553
ITSN2,1.063830968,0.157568345
ITSN2,1.063130693,0.473484582
COG1,0.769774472,0.418145364
MTHFD1L,1.020623967,0.883958111
FAT1,1.064682136,0.437588081
ZMYND8,0.894542019,0.53145599
ZMYND8,1.14127534,0.368277706
ZMYND8,0.922018298,0.852064916
ZMYND8,0.964199147,0.479930184
ZMYND8,0.986978405,0.97924426
ZMYND8,1.05599459,0.433651443
ZMYND8,0.991800016,0.984253888
TTC28,0.951446468,0.459655142
PSMD1,0.886772833,0.809529474
PSMD1,1.051322889,0.491889011
CHMP2B,0.967814684,0.734884066
CHMP2B,0.888551776,0.282666148
MYEF2,0.944388669,0.712285562
C10orf11,0.898216678,0.853413494
MSH6,0.89647811,0.350603577
CUL4A,1.179708767,0.159870155
RBM15,0.807814829,0.102282215
RBM15,1.073136418,0.637690862
RBM15,1.009086169,0.858750712
RBM15,0.996019281,0.929168567
RBM15,0.996019281,0.929168567
RBM15,0.953150685,0.329783173
RBM15,0.978015993,0.839197083
RBM15,0.897687698,0.261304874
RBM15,0.914838025,0.190726367
RBM15,1.019192346,0.859545499
RBM15,1.066773646,0.533854535
RBM15,0.972706204,0.653467416
RBM15,0.902375009,0.308266659
RBM15,0.803163945,0.197422402
RSBN1,0.852869847,0.216138717
THOC1,1.017055814,0.830512727
TPM3,0.831210205,0.034656559
TNS1,0.908121678,0.272136844
TNS1;TNS3,1.601069272,0.094849972
TNS1,0.914112466,0.537648481
TNS1,0.987138249,0.858615688
TNS1,1.240244356,0.122566763
TNS1,0.809610553,0.11153761
BCL10,1.191959484,0.404709586
BCL10,1.153326847,0.532994485
ADRM1,1.121819936,0.547647838
CLK4,1.019959315,0.630201213
SLC9A7,1.175624999,0.229838011
INTS12,1.092239232,0.612751481
INTS12,1.212973997,0.324102095
MTSS1L,0.938413319,0.24386918
MTSS1L,0.902081111,0.048750102
NUMA1,0.87876715,0.191551914
NUMA1,1.046226142,0.585724837
NUMA1,1.400654873,0.323077115
NUMA1,0.93481577,0.334105946
NUMA1,0.983417059,0.930099466
NUMA1,0.965232856,0.018824609
F11R,0.87923763,0.028883171
F11R,0.921259341,0.238520219
F11R,0.898635545,0.245472226
DHX29,1.09413853,0.371469013
SRP19,1.242556076,0.407100556
STK3,0.968001984,0.875999745
RAVER1,0.961124946,0.713674408
RAVER1,0.930130384,0.129002023
RAVER1,0.888629886,0.030328699
RAVER1,0.882793103,0.082604224
CAP2,1.035581643,0.57844595
CAP2;CAP1,1.010324884,0.178416236
PLEKHA2,0.933827197,0.694596689
PLEKHA2,0.984392066,0.849699349
PLEKHA2,0.899792774,0.154561687
HMGN3,0.762991122,0.054858435
EIF3H,1.050325428,0.609115332
CDK16,0.857733562,0.337374538
CDK16,1.039480277,0.726858256
CDK16,0.812115605,0.029263115
CDK16;CDK17,0.677518461,0.027509287
CDK16,0.733070923,0.094861415
PPIP5K2,0.939571836,0.501235834
PPIP5K2,1.15632139,0.319929099
PPIP5K2,0.977296469,0.97093363
PPIP5K2,0.921075538,0.316788931
SBDS,1.205164868,0.389153803
CNOT2,0.983528636,0.923168979
CNOT2,1.067316716,0.30492694
RBM26,0.99407059,0.916417582
RBM26,0.878655341,0.423876038
SLC4A1AP,1.110735055,0.13235661
SLC4A1AP,0.919888417,0.01439272
SLC4A1AP,1.055868996,0.262143377
OAS2,0.933245378,0.900769889
OAS2,0.903024211,0.274702667
OAS2,1.007406231,0.85061756
RELA,1.033084303,0.756764919
HNRNPM,1.03776946,0.720149649
HNRNPM,1.081446533,0.402114135
HNRNPM,1.010369878,0.861875231
HNRNPM,1.137434678,0.415124516
CHEK2,0.768044977,0.076693795
IKBKG,1.004435754,0.900704855
IKBKG,1.015006058,0.845145365
ACAP2,1.057370319,0.709330109
ACAP2,1.090769936,0.322536804
ACAP2,0.859459255,0.129822136
ACAP2,1.417236484,0.004370236
ACAP2,0.845977063,0.474432158
FNDC3A,0.889898306,0.490253333
COPS7B,0.947199628,0.313532472
PSME2,1.037926607,0.436443908
SPAG9,0.878654042,0.692739279
SPAG9,1.139511761,0.46834604
SPAG9,1.183430819,0.433219057
SPAG9,1.073635872,0.632242891
HECTD1,1.136554307,0.030460722
HECTD1,0.99820717,0.838535957
NCOR1,0.781044108,0.157227273
NCOR1,0.937039483,0.410985136
NCOR1,1.13865772,0.300300164
NCOR1,1.011111858,0.887837686
NCOR1,1.004278896,0.916789027
NCOR1,0.805569467,0.074944798
ADSL,0.89253927,0.318421207
AAK1,1.023089351,0.491998483
AAK1,1.003448552,0.924342269
AAK1,0.988758375,0.901837003
AAK1,1.079402243,0.268336567
AAK1,0.776114399,0.587279223
AAK1,0.913834717,0.900036267
AAK1,0.984077011,0.94417626
AAK1,1.073572429,0.622625737
FAM21C;FAM21A,0.993054182,0.993571756
FAM21C,1.045000982,0.442003973
FAM21C;FAM21A,0.898641287,0.179662084
FAM21C,0.890357305,0.053981642
FAM21C,0.785182374,0.513782854
FAM21C;FAM21A,0.873057067,0.100005763
FAM21C;FAM21A,0.856757528,0.057580331
CLASRP,0.983529035,0.950977837
CLASRP,1.06982236,0.164741762
CLASRP,0.937457142,0.149892484
CLASRP,0.926906197,0.450469082
SCLY,0.553213363,0.300631103
KSR1,1.194285606,0.520306549
KSR1,1.345957827,0.420863902
KSR1,1.291199359,0.435459213
MYO10,0.907918309,0.462918031
SCYL1,1.04529626,0.514570465
VDAC2,0.835805711,0.061750491
CTDP1,0.832256824,0.141573213
VAV1,1.074024576,0.626772741
USP19,0.844758166,0.796052769
HNRNPUL1,0.91878258,0.455270557
EPB41L3,0.979321495,0.84207047
EPB41L3,1.030299443,0.533542732
EPB41L3,1.006973976,0.811810047
EPB41L3,1.017481122,0.869029536
EPB41L3,0.900022155,0.430995864
EPB41L3,1.216642392,0.253257679
MADD,0.838713188,0.983869166
MADD,1.056283508,0.649079362
GPSM1,1.004168551,0.9111993
EXOC7,1.007051419,0.885097178
WDR47,0.997414349,0.922283993
WDR47,0.901330142,0.40188716
PLCG2,1.024740138,0.584846278
PLCG2,0.960633461,0.333900386
GPALPP1,1.269289569,0.046164777
ARHGAP30,0.856290095,0.166206291
ARHGAP30,0.85522284,0.081392609
ARHGAP30,0.820721102,0.202886013
GPATCH4,1.028156741,0.749979219
MYO6,0.878690111,0.264420803
MYO6,1.149976373,0.610375042
NOLC1,0.893772192,0.843292727
NOLC1,0.916668468,0.321875679
NOLC1,0.899157757,0.211014675
PRPF38B,0.702476937,0.151081439
PRPF38B,1.417415389,0.18006041
PRPF38B,1.18744459,0.373570405
PRPF38B,1.12291489,0.543067334
PRPF38B,1.252373291,0.336622699
PRPF38B,1.080217469,0.654971496
PRPF38B,1.541078956,0.205935609
PRPF38B,1.135646491,0.580315422
PRPF38B,1.088015888,0.542642518
PRPF38B,1.206698659,0.146631306
ZNF326,0.828283477,0.13945491
MAP7D3,0.850532157,0.36856209
MAP7D3,0.89286674,0.522350144
ABI1,1.013788309,0.809870155
ABI1,0.71052365,0.205043494
ABI1,1.054794974,0.586374993
ABI1,1.656321207,0.113237212
ABI1,1.0083625,0.864896133
ABI1,1.266498753,0.347280367
DDRGK1,0.872525796,0.372965459
DDRGK1,1.187807443,0.318141233
MFF,1.249516381,0.549134115
MFF,0.98870642,0.737398565
MBD1,0.976735376,0.945699801
ABCC1,0.886200793,0.475932815
ABCC1;ABCC3,0.971680497,0.404725178
EIF4G3,0.910278248,0.045509779
EIF4G3,0.973411054,0.903123358
EIF4G3,0.764171918,0.01240894
EIF4G3,0.817118376,0.021194507
EIF4G3,1.527141294,0.05173724
EIF4G3,1.609124006,0.046125152
EIF4G3,0.943311063,0.131098723
PRDX1,0.986909728,0.853149985
TOR1AIP1,0.817793737,0.057600283
TOR1AIP1,0.817793737,0.057600283
TOR1AIP1,0.879428688,0.550774937
TOR1AIP1,1.023020125,0.769837541
TOR1AIP1,0.82915472,0.133420601
TOR1AIP1,1.044359196,0.760327026
TOR1AIP1,0.99052532,0.972758209
ADD1,0.810946392,0.30084769
ELMSAN1,0.985479735,0.779868393
ELMSAN1,1.040293997,0.416688247
ELMSAN1,1.104982622,0.715856023
IARS,0.871456338,0.137688264
SCAF8,0.823814856,0.351337569
CCM2,0.998068609,0.958717016
CCM2,1.041615635,0.448551721
RNF213,0.506080366,0.243363739
RNF213,0.682171538,0.114563586
SCAP,0.790585698,0.151897916
SCAP,0.948610024,0.541220673
ILK,1.013120249,0.87515241
ILK,0.963606191,0.14083407
BTAF1,1.114989763,0.356882875
FAM65A,1.050792878,0.396199256
FAM65A,0.979873905,0.849793067
INPPL1,1.143547093,0.052731299
INPPL1,0.959961239,0.629096291
ZFP91-CNTF;ZFP91,0.961236702,0.948160157
PPAN;PPAN-P2RY11,0.952238934,0.388076963
CORO7-PAM16;CORO7,0.947143168,0.468155617
CORO7-PAM16;CORO7,0.969696485,0.814407977
CORO7-PAM16;CORO7,0.933365383,0.0809952
CORO7-PAM16;CORO7,0.925856137,0.50459897
CORO7-PAM16;CORO7,0.845198256,0.021210144
C10orf32-ASMT;C10orf32,0.939146876,0.280846446
PI4KB,1.089542735,0.390103292
PI4KB,1.049102176,0.544886594
RPS15,0.901176686,0.172677134
MGLL,0.918572992,0.919869931
ZBTB34,0.804633949,0.038686983
SRCAP,1.054198843,0.482492554
SRCAP,0.954346235,0.844354672
SRCAP,1.252332417,0.303433004
SRCAP,1.039592514,0.741282615
SRCAP,1.047299052,0.609748015
PAN3,0.741072076,0.145506307
NBN,0.679974414,0.002298449
NBN,0.918625096,0.232780953
NBN,0.979818365,0.918543881
ABI2,1.057575964,0.777141938
ABI2,1.00523361,0.926003804
ABI2,1.127454616,0.58640454
ABI2,1.281634175,0.343761843
ABI2,0.937209458,0.906958354
PEX1,1.015394542,0.899860508
PVR,1.262723948,0.37435867
PVR,0.996388941,0.956710677
ARL6IP4,#N/A,0.789841771
PXK,0.960557531,0.997843962
THOC2,0.832615506,0.456688253
THOC2,0.964587266,0.558638694
STX3,1.000559836,0.952366684
CD276,1.489330927,0.271205566
NUMBL;NUMB,0.941105431,0.064314135
NUMBL;NUMB,2.525957571,0.028675162
NUMBL,0.665605773,0.673283413
CS,1.082459542,0.071656482
PAPOLG,0.938418181,0.718994896
PAPOLG,0.948937362,0.406730899
PAPOLG,1.008226421,0.883197838
CDK11B;CDK11A,1.296380718,0.211005746
CDK11B;CDK11A,1.236542599,0.230793903
CDK11B;CDK11A,0.830905427,0.049385391
CDK11B;CDK11A,0.790375601,0.059740463
CDK11B;CDK11A,0.812161348,0.043982119
CDK11B;CDK11A,0.858910241,0.151964209
RANBP10,0.937416752,0.517687419
RANBP10,0.968359628,0.833151486
MAP4K4,0.851839314,0.605806715
MAP4K4,0.898907966,0.547612551
MAP4K4,0.995792612,0.931145504
MAP4K4,0.967486027,0.72032844
MAP4K4,1.098852232,0.521950445
MAP4K4,1.117321557,0.446749832
MAP4K4,0.86961342,0.663882817
MAP4K4,1.027551907,0.49011396
MAP4K4,1.020078481,0.856451615
MAP4K4,0.998155783,0.811702495
MAP4K4,1.063884661,0.499351688
MAP4K4,0.998101148,0.950966865
MAP4K4,1.488912894,0.07237778
POU2F2,0.763945032,0.556441354
POU2F2,1.10103984,0.420767805
DDX3X,0.973555848,0.441085289
DDX3X,0.994596085,0.996055544
DDX3X,0.882355103,0.226334015
DDX3X,1.018365038,0.713612856
DDX3X,0.831271275,0.168944925
DDX3X,1.07308211,0.172583767
DDX3X;DDX3Y,0.970643112,0.840455958
MYO18A,0.996634303,0.890411071
MYO18A,0.963019728,0.429553427
MYO18A,0.883354668,0.029967458
MYO18A,0.957760532,0.542476776
MYO18A,0.85406863,0.099481396
MYO18A,1.281434555,0.102430943
MYO18A,0.993395608,0.975777336
MYO18A,0.986274225,0.994662573
MECP2,0.809927816,0.279306606
UBAP1,0.894549873,0.523263555
UBAP1,0.98750765,0.928756
UBAP1,0.822279289,0.311866407
SPTAN1,0.995624873,0.97860648
MEF2C,0.864234944,0.490918529
MEF2C,1.015722418,0.768635095
MEF2C,0.780324891,0.193381059
MEF2C,0.835150428,0.275753525
MEF2C,1.003175388,0.923020024
SYNJ1,1.000253577,0.976800754
SYNJ1,0.818691557,0.040371767
DIAPH1,1.008464551,0.865220433
PPP1R18,0.849155747,0.183958036
PPP1R18,1.100196874,0.558044332
PPP1R18,0.874595188,0.240326407
PPP1R18,1.097947568,0.258524575
PPP1R18,0.913273965,0.612648135
PPP1R18,1.037983423,0.753330007
PPP1R18,1.029655357,0.777414644
PPP1R18,1.142108526,0.035344273
PPP1R18,1.020415687,0.776464541
PPP1R18,1.091562475,0.377368136
PPP1R18,1.557640222,0.063727056
PPP1R18,1.060363694,0.717841156
PPP1R18,1.351771194,0.000860495
EHMT2,0.940098519,0.641300139
HSPA1B;HSPA1A,0.888114071,0.291329501
HSPA1B;HSPA1A,0.909042687,0.006889137
AGK,1.030027009,0.443016085
LAIR1,1.167404854,0.048414364
SCRIB,0.951788479,0.476158441
SCRIB,0.906191801,0.266875838
SCRIB,0.993004797,0.888768566
SCRIB,1.147151589,0.323970829
SCRIB,0.982529164,0.787971104
SCRIB,0.974557636,0.745306181
